programa,anio,mes_num,mes,zona_codigo,municipio_origen,material,cantidad,pagado_unit_gtq,precio_vendido_unit_gtq,gtq_total_pagados,ingreso_total_venta,ingreso_cooperativa
atitlan_recicla,2026,2,FEB,K,K - Sololá,Cartón,35.5,10.0,10.0,355.0,355.0,0.0
atitlan_recicla,2026,2,FEB,K,K - Sololá,Chatarra 2da.,1.85,20.0,20.0,37.0,37.0,0.0
atitlan_recicla,2026,2,FEB,K,K - Sololá,PET celeste,0.61,20.0,20.0,12.2,12.2,0.0
atitlan_recicla,2026,2,FEB,K,K - Sololá,PET transparente,2.8,40.0,40.0,112.0,112.0,0.0
atitlan_recicla,2026,2,FEB,K,K - Sololá,PET verde,0.72,15.0,15.0,10.799999999999999,10.799999999999999,0.0
atitlan_recicla,2026,2,FEB,K,K - Sololá,Papel mixto,8.5,25.0,25.0,212.5,212.5,0.0
atitlan_recicla,2026,2,FEB,K,K - Sololá,Plástico duro (PP),4.72,35.0,35.0,165.2,165.2,0.0
atitlan_recicla,2026,2,FEB,K,K - Sololá,Plástico soplado (PEAD),1.85,35.0,35.0,64.75,64.75,0.0
atitlan_recicla,2026,2,FEB,K,K - Sololá,Quintal vidrio VER,6.44,10.0,10.0,64.4,64.4,0.0
atitlan_recicla,2026,2,FEB,K,K - Sololá,Quintal vidrio mixto,27.42,22.0,22.0,603.24,603.24,0.0
atitlan_recicla,2026,2,FEB,K,K - Sololá,cartoncillo,12.75,5.0,5.0,63.75,63.75,0.0
